position,title
Q886947,President
Q116102,Prime Minister
Q107601200,"First Deputy Prime Minister for European Integration, Development and Dialogue"
Q107601071,Second Deputy Prime Minister and Minister of Foreign Affairs and Diaspora
Q107601053,Third Deputy Prime Minister for Minority Issues and Human Rights
Q107601198,"Minister of Agriculture, Forestry and Rural Development"
Q107601193,Minister of Communities and Returns
Q107601190,"Minister of Culture, Youth and Sports"
Q107601182,Minister of Defense
Q107601175,Minister of Economy
Q107601165,"Minister of Education, Science, Technology and Innovation"
Q107601161,"Minister of Environment, Spatial Planning and Infrastructure"
Q107601155,"Minister of Finance, Labor and Transfers"
Q107601147,Minister of Health
Q107601128,"Minister of Industry, Entrepreneurship and Trade"
Q107601116,Minister of Internal Affairs
Q107601110,Minister of Justice
Q107601105,Minister of Local Government Administration
Q107601083,Minister of Regional Development
Q5068088,Chairman of the Assembly
Q60539020,Commander of the Security Force
Q109497119,Governor of the Central Bank
Q16266430,Mayor of Priština
